vin,make,model,year,age,price,mileage,city,state,region,population,lat,lng
SALSK2D42CA718667,Land,Rover,2012,8,31480,51313,Burbank,CA,West,104834,34.1879,-118.3235
1FTEW1CF0FKD95739,Ford,F-1502WD,2015,5,38198,35683,Weatherford,TX,South,42278,32.7535,-97.7724
1FTFW1ET5EFC30428,Ford,F-1504WD,2014,6,32624,42589,Del City,OK,South,21798,35.4483,-97.4408
3GCUKRECXGG298162,Chevrolet,Silverado,2016,4,35994,18189,Grapevine,TX,South,53982,32.9343,-97.0744
2D4RN3D1XAR435311,Dodge,Grand,2010,10,10395,60823,Lombard,IL,Midwest,43745,41.8741,-88.0157
1FTWW3BR9AEA59235,Ford,Super,2010,10,27450,97886,Portland,OR,West,2052796,45.5371,-122.65
1D3HV18P79S804557,Dodge,Ram,2009,11,14450,139318,Columbia,MO,Midwest,139945,38.9477,-92.3255
2C4RC1BGXGR239330,Chrysler,Town,2016,4,20995,40981,Grandville,MI,Midwest,15970,42.9003,-85.7564
1FTEX1CM3EFA55570,Ford,F-1502WD,2014,6,24864,36200,Warner Robins,GA,South,149617,32.5975,-83.6526
1C4BJWFG6FL735313,Jeep,Wrangler,2015,5,37791,23275,Bradenton,FL,South,56508,27.49,-82.574
1FMCU9J92FUB35092,Ford,Escape4WD,2015,5,24988,24273,Broomall,PA,Northeast,10883,39.9694,-75.3529
WBANU53598CT12470,BMW,5,2008,12,8900,118327,Columbia,KY,South,5019,37.1037,-85.3073
5XYPG4A31HG238729,Kia,SorentoLX,2017,3,22957,629,Kennesaw,GA,South,34344,34.0262,-84.6177
1J4GA391X9L714054,Jeep,Wrangler,2009,11,21450,59313,Portland,OR,West,2052796,45.5371,-122.65
1FMCU9D75CKA14672,Ford,Escape4WD,2012,8,13995,31332,Fort Collins,CO,West,303184,40.5475,-105.0651
2C4RC1CG1FR539884,Chrysler,Town,2015,5,19995,80469,Defiance,OH,Midwest,18519,41.281,-84.3659
5TFDW5F1XEX413801,Toyota,Tundra,2014,6,36495,29608,Opelousas,LA,South,25056,30.528,-92.0851
3FA6P0T91HR119998,Ford,FusionSE,2017,3,19900,11423,Canby,OR,West,19206,45.2653,-122.6866
3GTU2NEC2GG216756,GMC,Sierra,2016,4,43500,26558,Crestview,FL,South,36880,30.7481,-86.5784
3GTU2NEC1HG281602,GMC,Sierra,2017,3,45000,12318,Columbus,GA,South,259160,32.51,-84.8771
1HGCR2F32EA247832,Honda,Accord,2014,6,12480,90279,Hoover,AL,South,84920,33.3754,-86.8065
2HGFG4A54CH707028,Honda,Civic,2012,8,13599,71851,Dayton,OH,Midwest,718169,39.7797,-84.1998
1C4BJWEG7GL221201,Jeep,Wrangler,2016,4,33497,24298,Bowling Green,OH,Midwest,32572,41.3773,-83.6501
WBA3B1C56EPV79947,BMW,3,2014,6,22688,29150,Austin,TX,South,1638716,30.3006,-97.7517
2GNFLEEK0D6276899,Chevrolet,EquinoxAWD,2013,7,19398,32091,Grass Valley,CA,West,34650,39.2237,-121.0521
2HGFA16588H530144,Honda,Civic,2008,12,6495,142438,Memphis,TN,South,1068873,35.1046,-89.9773
5XXGT4L33HG124549,Kia,OptimaLX,2017,3,18077,17057,Vero Beach,FL,South,16919,27.6463,-80.393
WMWZC3C54EWP25299,MINI,Cooper,2014,6,16893,37768,Corte Madera,CA,West,9864,37.9238,-122.5129
3VWD17AJ9EM227221,Volkswagen,Jetta,2014,6,11000,28929,Goodyear,AZ,West,79858,33.2614,-112.3622
3GCUKSEC4GG304156,Chevrolet,Silverado,2016,4,43900,12363,Ankeny,IA,Midwest,62416,41.7284,-93.6034
1FM5K7D87DGB26437,Ford,ExplorerXLT,2013,7,15000,118199,San Benito,TX,South,24528,26.1298,-97.644
1FMCU0G71FUA19223,Ford,EscapeFWD,2015,5,15490,40806,Locust,NC,South,3171,35.2687,-80.4368
5NMSG13D87H069635,Hyundai,Santa,2007,13,4521,193569,Cary,NC,South,165904,35.7817,-78.8175
1FTFW1ET8BFC89114,Ford,F-1504WD,2011,9,25996,86734,Lake Park,FL,South,8645,26.7998,-80.0685
WMWZC3C50EWP27079,MINI,Cooper,2014,6,15997,42463,Roseville,CA,West,135329,38.7691,-121.3178
5NPDH4AE9GH697659,Hyundai,Elantra4dr,2016,4,11995,40761,Santa Ana,CA,West,334136,33.7366,-117.8819
KMHD74LF6HU084894,Hyundai,Elantra4dr,2017,3,12994,26616,Victorville,CA,West,346948,34.5277,-117.3536
3FA6P0HR2DR127448,Ford,FusionSE,2013,7,12996,32414,Lakewood,WA,West,60296,47.1628,-122.5299
1FADP3K2XGL204901,Ford,FocusHatchback,2016,4,11993,41570,Lynnwood,WA,West,38273,47.8285,-122.3035
WMWRE33566TJ33304,MINI,Cooper,2006,14,6999,90765,Corona,CA,West,167836,33.862,-117.5641
WBA8B9G5XHNU49555,BMW,3,2017,3,34795,5890,Austin,TX,South,1638716,30.3006,-97.7517
5TFLU4EN8FX139533,Toyota,Tacoma4WD,2015,5,24475,121994,Statesboro,GA,South,40090,32.4376,-81.775
5TFDW5F16GX535381,Toyota,Tundra,2016,4,37000,31936,Frisco,TX,South,177286,33.1554,-96.8217
2T2ZK1BA3CC083815,Lexus,RX,2012,8,26200,35875,Phoenix,AZ,West,4081849,33.5722,-112.0891
3GTU2UEC3FG429255,GMC,Sierra,2015,5,36995,23546,Chowchilla,CA,West,11740,37.1095,-120.2349
2GNFLGEK6E6260901,Chevrolet,EquinoxAWD,2014,6,19480,64967,Richmond,KY,South,40111,37.7306,-84.2926
5XXGT4L34HG133454,Kia,OptimaLX,2017,3,17900,9342,Clearwater,FL,South,115513,27.9788,-82.7624
1HGCR2F73FA038085,Honda,Accord,2015,5,18600,20983,Racine,WI,Midwest,131467,42.7274,-87.8135
1C4BJWEG8EL266659,Jeep,Wrangler,2014,6,35000,73144,Hurst,TX,South,39051,32.8353,-97.1808
2GNALBEK7F6105238,Chevrolet,EquinoxFWD,2015,5,15457,63087,Jacksonville,NC,South,108872,34.7287,-77.394
WMWZC5C51DWM16044,MINI,Cooper,2013,7,14859,74116,Addison,IL,Midwest,36820,41.9314,-88.0085
1HGCR2F7XFA061136,Honda,Accord,2015,5,17472,24657,Irving,TX,South,240373,32.8584,-96.9702
1C4RJFAG8EC541242,Jeep,Grand,2014,6,28500,26010,Amityville,NY,Northeast,9524,40.6696,-73.4156
1FMCU0GX4FUB82318,Ford,EscapeFWD,2015,5,12999,44675,Orlando,FL,South,1776841,28.4772,-81.3369
2G1FC1E33D9108577,Chevrolet,CamaroCoupe,2013,7,17950,80020,Albuquerque,NM,West,758523,35.1053,-106.6464
1J4PR4GK1AC111069,Jeep,Grand,2010,10,11000,94230,Chattanooga,TN,South,407182,35.0657,-85.2487
5TFSX5EN6GX046746,Toyota,Tacoma4WD,2016,4,28438,9943,Scranton,PA,Northeast,389022,41.4044,-75.6649
1FMCU9J99HUB46500,Ford,Escape4WD,2017,3,22525,34932,Overland Park,KS,Midwest,191278,38.887,-94.687
2T1BURHE6FC257261,Toyota,CorollaLE,2015,5,15626,13963,Little Rock,AR,South,442699,34.7255,-92.358
2A4RR8DG6BR733627,Chrysler,Town,2011,9,12336,99010,Vincennes,IN,Midwest,20501,38.6759,-87.5102
2C4RC1BG2GR301464,Chrysler,Town,2016,4,16995,44380,Henderson,NV,West,302539,36.0146,-115.0362
1N4AL3AP4FC211031,Nissan,Altima2.5,2015,5,18000,25819,Cornelius,NC,South,29191,35.4731,-80.8822
4T1BF1FK4EU774415,Toyota,CamrySE,2014,6,15988,25973,Melbourne,FL,South,82011,28.1085,-80.6627
1C4BJWEG6DL568644,Jeep,Wrangler,2013,7,27488,81287,Franklin,TN,South,78321,35.9216,-86.8525
2C4RDGBG3ER169974,Dodge,Grand,2014,6,15977,68010,Mesa,AZ,West,496401,33.4017,-111.7181
2GNFLGE3XG6132575,Chevrolet,EquinoxAWD,2016,4,21990,40080,Shrewsbury,NJ,Northeast,4122,40.3249,-74.06
WBA3B3C58EJ977322,BMW,3,2014,6,23750,35492,Plano,TX,South,286143,33.0502,-96.7487
1C4BJWFGXCL262723,Jeep,Wrangler,2012,8,28995,103984,San Antonio,TX,South,2002530,29.4658,-98.5254
3GTU2UECXFG527103,GMC,Sierra,2015,5,33995,33940,Warner Robins,GA,South,149617,32.5975,-83.6526
2A4RR8D16AR495241,Chrysler,Town,2010,10,12975,55975,Seattle,WA,West,3643765,47.6211,-122.3244
3GCUKSEC8GG153452,Chevrolet,Silverado,2016,4,41783,28351,Huntersville,NC,South,56212,35.4057,-80.8729
1G1ZE5STXHF230997,Chevrolet,MalibuLT,2017,3,19000,22282,Kansas City,MO,Midwest,1615621,39.1239,-94.5541
5XXGT4L35HG124231,Kia,OptimaLX,2017,3,16777,27880,Lawrenceville,GA,South,29873,33.9525,-83.9928
19XFC2F73GE215410,Honda,Civic,2016,4,19995,11510,Bristol,TN,South,69865,36.5572,-82.2154
JTHBA30G945001515,Lexus,ES,2004,16,5999,153064,Circleville,OH,Midwest,15657,39.6063,-82.9334
WBAPT73529CX02657,BMW,5,2009,11,16998,72636,Lynnwood,WA,West,38273,47.8285,-122.3035
2GNALBEKXC1163630,Chevrolet,EquinoxFWD,2012,8,6000,154336,Chicago,IL,Midwest,8675982,41.8373,-87.6862
1C4BJWDG8HL615163,Jeep,Wrangler,2017,3,34805,144,Winter Haven,FL,South,245237,28.0118,-81.7017
1GCVKREC1EZ262720,Chevrolet,Silverado,2014,6,30100,36195,Indianapolis,IN,Midwest,1564699,39.7771,-86.1458
1FTEW1E87GFB99726,Ford,F-1504WD,2016,4,31755,34970,New London,CT,Northeast,27072,41.3502,-72.1023
1GCRKSE70DZ165017,Chevrolet,Silverado,2013,7,31997,20896,Tallahassee,FL,South,253030,30.4551,-84.2527
