make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
Dodge,Caliber AWD,2008,10,4-Wheel or All-Wheel Drive,14.982272727,21,24,22,403.95454545,4,2.4,4-Wheel or All-Wheel Drive,1750,Regular Gasoline
Ford,Focus,2008,10,Front-Wheel Drive,11.771785714,24,33,28,317.39285714,4,2,Front-Wheel Drive,1400,Regular Gasoline
Ford,Focus,2008,10,Front-Wheel Drive,11.771785714,24,35,28,317.39285714,4,2,Front-Wheel Drive,1400,Regular Gasoline
Honda,Accord Coupe,2008,10,Front-Wheel Drive,13.73375,21,30,24,370.29166667,4,2.4,Front-Wheel Drive,1600,Regular Gasoline
Honda,Accord Coupe,2008,10,Front-Wheel Drive,13.1844,22,31,25,355.48,4,2.4,Front-Wheel Drive,1550,Regular Gasoline
Honda,Accord Coupe,2008,10,Front-Wheel Drive,14.982272727,19,28,22,403.95454545,6,3.5,Front-Wheel Drive,1750,Regular Gasoline
Honda,Accord Coupe,2008,10,Front-Wheel Drive,16.4805,17,25,20,444.35,6,3.5,Front-Wheel Drive,1950,Regular Gasoline
Honda,Civic Hybrid,2008,10,Front-Wheel Drive,7.8478571429,40,45,42,211.5952381,4,1.3,Front-Wheel Drive,950,Regular Gasoline
Hyundai,Accent,2008,10,Front-Wheel Drive,11.771785714,24,33,28,317.39285714,4,1.6,Front-Wheel Drive,1400,Regular Gasoline
Hyundai,Accent,2008,10,Front-Wheel Drive,11.365862069,27,32,29,306.44827586,4,1.6,Front-Wheel Drive,1350,Regular Gasoline
Kia,Rio,2008,10,Front-Wheel Drive,11.365862069,25,35,29,306.44827586,4,1.6,Front-Wheel Drive,1350,Regular Gasoline
Kia,Rio,2008,10,Front-Wheel Drive,11.365862069,27,32,29,306.44827586,4,1.6,Front-Wheel Drive,1350,Regular Gasoline
Lexus,GS 450h,2008,10,Rear-Wheel Drive,14.330869565,22,25,23,386.39130435,6,3.5,Rear-Wheel Drive,2050,Premium Gasoline
Mercedes-B,C300,2008,10,Rear-Wheel Drive,15.695714286,18,26,21,423.19047619,6,3,Rear-Wheel Drive,2200,Premium Gasoline
Mercedes-B,C350,2008,10,Rear-Wheel Drive,16.4805,17,25,20,444.35,6,3.5,Rear-Wheel Drive,2350,Premium Gasoline
Rolls-Royc,Phantom Drophead Co,2008,10,Rear-Wheel Drive,23.543571429,11,18,14,634.78571429,12,6.7,Rear-Wheel Drive,3350,Premium Gasoline
